A                   FRA  75017
A                   FRA  75018
A                   FRA  75019
A                   FRA  75020
A                   FRA  92000
A                   FRA  92600
A                   FRA  92340
A                   FRA  93700
A                   FRA  93150
A                   FRA  93600
B                   FRA  91200
B                   FRA  91230
B                   FRA  91400
B                   FRA  95300
B                   FRA  95600
B                   FRA  95000
B                   FRA  77100
B                   FRA  77500
B                   FRA  77200
B                   FRA  78000
B                   FRA  78200
B                   FRA  78600
C                   FRA  59100
C                   FRA  59300
C                   FRA  59600
C                   FRA  62200
C                   FRA  62300
D                   FRA  14200
D                   FRA  14300
D                   FRA  14600
D                   FRA  18100
D                   FRA  18700
D                   FRA  18300
D                   FRA  27700
D                   FRA  27800
D                   FRA  27900
D                   FRA  28400
D                   FRA  28700
D                   FRA  28150
D                   FRA  36000
D                   FRA  36500
D                   FRA  36200
E                   FRA  51100
E                   FRA  80000
E                   FRA  89100
E                   FRA  71200
F                   FRA  85500
F                   FRA  44000
F                   FRA  17200
G                   FRA  19200
G                   FRA  33100
G                   FRA  64600
H                   FRA  13013
H                   FRA  13100
H                   FRA  66200
H                   FRA  83200
I                   FRA  74100
I                   FRA  38200
I                   FRA  69100
J                   FRA  67500
J                   FRA  55300
J                   FRA  39100
