A;FORFAIT ACCOUCHEMENT SIMPLE
P02;PS2 COMPLEMENT FRAIS TRANSPORT SEJ
P03;PS3 frais OCCASIONNES LORS DE PRELEVEMENTS 
P04;PS4.COMPL.FRAIS SEJOUR HOSPITALISATION
P05;PS5 PERTE DE SALAIRE ENFANT MALADE
P06;PS6 iNDEMNITES.JOURNALIERES MATERNITE
P08;PS8 FRAIS FUNERAIRES
P09;PS9 INDEM. COMPL..REEDUCATION PROF.
P10;PS10 COMPL.CURES THERMALES
P11;PS11 COMPL. TICKET MODERATEUR.
P12;PS12 ALLOCATION DECES
P13;PS13 COMPL.MAL. CHRO.M.A.D
PA;ORTHESES
PAN;PANSEMENTS
PAR;PARODOTONLOGIE -CCAM-
PAU;PROTHESE AUDITIVE
PB;PRELEVEMENT SANG/DIREC.LABO.NON MED
PDA;PROTHESE DENTAIRE AMOVIBLE -CCAM-
PDI;ACTE DE PREVENTION
PDO;PRETIUM DOLORIS (AVANCE)
PEX;PRO.EXT.NON ORTHO
PFE;PROTHESE DENTAIRE FIXE ESTHETIQUE -CCAM-
PFM;PROTHESE DENTAIRE FIXE METALLIQUE -CCAM-
PFR;PRIME DE FIN DE REEDUCATION
PH1;PHARMACIE VIGNETTE NOIRE (100%)
PH4;PHARMACIE VIGNETTE BLEUE (40%)
PH7;PHARMACIE VIGNETTE BLANCHE (70%)
PHA;FORFAIT PHARMACIE ACCOUCH.DOMICILE
PHH;PHARMACIE HOSPITALIERE
PHI;MEDICAMENT AVEC AUTORISATION D IMPORTATION
PHJ;FORFAIT DE MEDICAMENTS
PHM;PREPARATION HOSPITALIERE MAGISTRALE
PHN;PHARMACIE NON REMBOURSABLE
PHP;PREPARATION HOSPITALIERE
PHQ;PHARMACIE HOSPITALIERE 35%
PHS;PHARMACIE HOSPITALIERE 65%
PHU;MEDICAMENT AVEC UNE AUTORISATION
PII;IMPLANT INERTE
PJ;PRIX DE JOURNEE
PJC;TICKET MODERATEUR DE PJ
PME;IMPLANT MU PAR ELECTRICITE
PMH;PREPARATION MAGISTRALE HOMEOPATHIQUE
PMR;PREPARATION MAGISTRALE REMBOURSABLE
PMS;FORFAIT DE PRESTATIONS  PMSI
POC;PROTHESE OCULAIRE
PPC;APPAREILLAGE VENTILATION
PRA;PRODUIT RADIOPH.
PRO;PROTHESE PAR MEDECIN
PSD;PERTE SALAIRE DIALYSE
PSM;PIED SUPPORT MATERIEL
RCP;RESPONSABILITE CIVILE PROFESSIONNELLE
RES;REMBOURSEMENT DE SOINS (RESERVE)
RF;READAPTATION FONCTIONNELLE
RIN;BUCCO.DENT.CONSULTATION et RADIO en IMAG.NUM.
RP;REEDUCATION PROFESSIONNELLE
RPJ;RAPPEL PRIX DE JOURNEE
S;SCELLEMENT DES SILLONS (spécifique régime agricole)
SAP;SUPPLEMENT ALIMENTATION PARENTERALE
SC;SOINS CONSERVATEURS/ DENTISTES
SCH;SUPPLEMENT CHAMBRE CHAUDE
SCM;SOINS CONSERVATEURS/MEDECIN
SD;SEANCES DE DIAGNOSTIC
SDE;SOINS DENTAIRES -CCAM-
SEC;AIDE FINANCIERE EXCEPTIONNELLE
SEJ;AIDE FINANCIERE INDIVIDUELLE HOSPITALISATION
SES;SUITE A EXAMEN DE SANTE
SF;ACTES DE SAGE-FEMME
SFC;SUPPLEMENT FORFAIT CHIMIOTHERAPIE
SFI;SOINS INFIRMIERS SAGE-FEMME
SHO;SUPPLEMENT CHAMBRE PARTICULIERE
SIN;SUPPLEMENT INCUBATEURS
SMU;SMUR
SNG;SANG PLASMA ET DERIVES
SNM;SURV.MED.MATER.AU TITRE ASS
SNS;FORFAIT  SEANCE DE SOINS
SPB;SUPPLEMENT CHAMBRE PLOMBEE
SPL;INTERVENTION ET FORMATION GARDE MALADE ET FOURNITURES NON REMBOURSABLE
SPR;PROTHESE DENTAIRE/DENTISTE
SRA;SUPPLEMENT REANIMATION
SSC;SUPPLEMENT SOINS CONTINUS
SSM;FORFAIT DE  SURVEILLANCE MEDICALE
STH;FORFAIT SURVEIL.MEDICALE THERMALE
TB;PRELEVEMENT SANG/TECHNICIEN DE LABO
TDF;TEST DIAGNOSTIC RAPIDE FOURNISSEUR
TDR;TEST DE DIAGNOSTIC RAPIDE
TH1;FORFAIT THERMAL COMPLET
TH2;FORFAIT THERMAL AVEC KINESITHERAPIE
TH3;FORFAIT  THERMAL 2éme ORIENTATION
TH4;FORFAIT THERMAL 9 SEANCES KINE
THR;DEMI FORFAIT SURVEILLANCE MEDICALE
TO;ORTHODONTIE par dentiste
TOR;TRAITEMENT ORTHOPEDIE DENTO-FACIALE -CCAM-
TRC;TRANSPORT DU CORPS
TRP;TRANS. REEDUCATION PROFESSIONNELLE
TSG;FORFAIT TRANSPORT PRODUITS SANGUINS LABILES
TTH;FRAIS DE TRANSPORT EN CURE THERMALE
TTH(PS);FRAIS DE TRANSPORT EN CURE THERMALE (PS)
TXI;TAXIS
UPH;URGENCE PHARMACIE
V;VISITE
VA;VISITE D'URGENCE
VEH;VEHICULE
VER;VERRES OPTIQUES
VNP;VISITE NEUROPSYCHIATRE
VP;VEHICULE PARTICULIER
VS;VISITE SPECIALISTE
VSL;VEHICULES SANITAIRES LEGERS
VU;VISITE D’URGENCE
Z;ACTES DE RADIOLOGIE
ZM;ACTE DE RADIOLOGIE «  MAMMOGRAPHIE »
ZN;MEDECINE NUCLEAIRE
