SIC US,0111,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,011 CASH GRAINS,WHEAT,,
SIC US,0112,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,011 CASH GRAINS,RICE,,
SIC US,0115,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,011 CASH GRAINS,CORN,,
SIC US,0116,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,011 CASH GRAINS,SOYBEANS,,
SIC US,0119,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,011 CASH GRAINS,CASH GRAINS NOT ELSEWHERE CLASSIFIED,,
SIC US,0131,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,013 FIELD CROPS EXCEPT CASH GRAINS,COTTON,,
SIC US,0132,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,013 FIELD CROPS EXCEPT CASH GRAINS,TOBACCO,,
SIC US,0133,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,013 FIELD CROPS EXCEPT CASH GRAINS,SUGARCANEAND SUGAR BEETS,,
SIC US,0134,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,013 FIELD CROPS EXCEPT CASH GRAINS,IRISH POTATOES,,
SIC US,0139,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,013 FIELD CROPS EXCEPT CASH GRAINS,FIELD CROPS EXCEPT CASH GRAINS NOT ELSEWHERE CLASSIFIED,,
SIC US,0161,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,016 VEGETABLES AND MELONS,VEGETABLESAND MELONS,,
SIC US,0171,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,017 FRUITS AND TREE NUTS,BERRY CROPS,,
SIC US,0172,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,017 FRUITS AND TREE NUTS,GRAPES,,
SIC US,0173,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,017 FRUITS AND TREE NUTS,TREE NUTS,,
SIC US,0174,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,017 FRUITS AND TREE NUTS,CITRUS FRUITS,,
SIC US,0175,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,017 FRUITS AND TREE NUTS,DECIDUOUS TREE FRUITS,,
SIC US,0179,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,017 FRUITS AND TREE NUTS,FRUITSAND TREE NUTS NOT ELSEWHERE CLASSIFIED,,
SIC US,0181,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,018 HORTICULTURAL SPECIALTIES,ORNAMENTAL FLORICULTUREAND NURSERY PRODUCTS,,
SIC US,0182,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,018 HORTICULTURAL SPECIALTIES,FOOD CROPS GROWN UNDER COVER,,
SIC US,0191,DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,019 GENERAL FARMS PRIMARILY CROP,GENERAL FARMS PRIMARILY CROP,,
SIC US,0211,DIVISION A. AGRICULTURE FORESTRY AND FISHING,02 AGRICULTURAL PRODUCTION-LIVESTOCK AND ANIMAL SPECIALTIES,021 LIVESTOCK EXCEPT DAIRY AND POULTRY,BEEF CATTLE FEEDLOTS,,
SIC US,0212,DIVISION A. AGRICULTURE FORESTRY AND FISHING,02 AGRICULTURAL PRODUCTION-LIVESTOCK AND ANIMAL SPECIALTIES,021 LIVESTOCK EXCEPT DAIRY AND POULTRY,BEEF CATTLE EXCEPT FEEDLOTS,,
SIC US,0213,DIVISION A. AGRICULTURE FORESTRY AND FISHING,02 AGRICULTURAL PRODUCTION-LIVESTOCK AND ANIMAL SPECIALTIES,021 LIVESTOCK EXCEPT DAIRY AND POULTRY,HOGS,,
SIC US,0214,DIVISION A. AGRICULTURE FORESTRY AND FISHING,02 AGRICULTURAL PRODUCTION-LIVESTOCK AND ANIMAL SPECIALTIES,021 LIVESTOCK EXCEPT DAIRY AND POULTRY,SHEEPAND GOATS,,
