NAF 2008 REV 2,01.11Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.1 CULTURES NON PERMANENTES,01.11 CULTURE DE CÉRÉALES (À L'EXCEPTION DU RIZ) DE LÉGUMINEUSES ET DE GRAINES OLÉAGINEUSES,CULTURE DE CÉRÉALES (À L'EXCEPTION DU RIZ) DE LÉGUMINEUSES ET DE GRAINES OLÉAGINEUSES,
NAF 2008 REV 2,01.12Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.1 CULTURES NON PERMANENTES,01.12 CULTURE DU RIZ,CULTURE DU RIZ,
NAF 2008 REV 2,01.13Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.1 CULTURES NON PERMANENTES,01.13 CULTURE DE LÉGUMES DE MELONS DE RACINES ET DE TUBERCULES,CULTURE DE LÉGUMES DE MELONS DE RACINES ET DE TUBERCULES,
NAF 2008 REV 2,01.14Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.1 CULTURES NON PERMANENTES,01.14 CULTURE DE LA CANNE À SUCRE,CULTURE DE LA CANNE À SUCRE,
NAF 2008 REV 2,01.15Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.1 CULTURES NON PERMANENTES,01.15 CULTURE DU TABAC,CULTURE DU TABAC,
NAF 2008 REV 2,01.16Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.1 CULTURES NON PERMANENTES,01.16 CULTURE DE PLANTES À FIBRES,CULTURE DE PLANTES À FIBRES,
NAF 2008 REV 2,01.19Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.1 CULTURES NON PERMANENTES,01.19 AUTRES CULTURES NON PERMANENTES,AUTRES CULTURES NON PERMANENTES,
NAF 2008 REV 2,01.21Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.21 CULTURE DE LA VIGNE,CULTURE DE LA VIGNE,
NAF 2008 REV 2,01.22Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.22 CULTURE DE FRUITS TROPICAUX ET SUBTROPICAUX,CULTURE DE FRUITS TROPICAUX ET SUBTROPICAUX,
NAF 2008 REV 2,01.23Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.23 CULTURE D'AGRUMES,CULTURE D'AGRUMES,
NAF 2008 REV 2,01.24Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.24 CULTURE DE FRUITS À PÉPINS ET À NOYAU,CULTURE DE FRUITS À PÉPINS ET À NOYAU,
NAF 2008 REV 2,01.25Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.25 CULTURE D'AUTRES FRUITS D'ARBRES OU D'ARBUSTES ET DE FRUITS À COQUE,CULTURE D'AUTRES FRUITS D'ARBRES OU D'ARBUSTES ET DE FRUITS À COQUE,
NAF 2008 REV 2,01.26Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.26 CULTURE DE FRUITS OLÉAGINEUX,CULTURE DE FRUITS OLÉAGINEUX,
NAF 2008 REV 2,01.27Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.27 CULTURE DE PLANTES À BOISSONS,CULTURE DE PLANTES À BOISSONS,
NAF 2008 REV 2,01.28Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.28 CULTURE DE PLANTES À ÉPICES AROMATIQUES MÉDICINALES ET PHARMACEUTIQUES,CULTURE DE PLANTES À ÉPICES AROMATIQUES MÉDICINALES ET PHARMACEUTIQUES,
NAF 2008 REV 2,01.29Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.2 CULTURES PERMANENTES,01.29 AUTRES CULTURES PERMANENTES,AUTRES CULTURES PERMANENTES,
NAF 2008 REV 2,01.30Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.3 REPRODUCTION DE PLANTES,01.30 REPRODUCTION DE PLANTES,REPRODUCTION DE PLANTES,
NAF 2008 REV 2,01.41Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.4 PRODUCTION ANIMALE,01.41 ÉLEVAGE DE VACHES LAITIÈRES,ÉLEVAGE DE VACHES LAITIÈRES,
NAF 2008 REV 2,01.42Z,SECTION A AGRICULTURE SYLVICULTURE ET PÊCHE,01 CULTURE ET PRODUCTION ANIMALE CHASSE ET SERVICES ANNEXES,01.4 PRODUCTION ANIMALE,01.42 ÉLEVAGE D'AUTRES BOVINS ET DE BUFFLES,ÉLEVAGE D'AUTRES BOVINS ET DE BUFFLES,
